title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
"With No Warning, House Republicans Vote to Gut Independent Ethics Office (Published 2017) - The New York Times",https://news.google.com/rss/articles/CBMixAFBVV95cUxOU2lwVXhXMW0td1MtT2J5V1lPN3lhRExpVEV2WVVQaFVEMHphZ2dPck1NYmljRldZa1RLQVVLTU93eTAxekttam9uUGdvMUs2c2VCWERBZUxwbkxqWThYejFTUGJWRVNCOU02X2prVVhBY2xaQjk0aC1BdndlQTN6bEpNeHNnYTZDVG9ubDlVMk0yNHRIeHRsTmZKRjJhRktjLU1XTkdkTTBlemN2ZHRwdGtTNm5zRlZrX2VmTzcwQ1NJZjNn?oc=5,https://news.google.com/rss/articles/CBMixAFBVV95cUxOU2lwVXhXMW0td1MtT2J5V1lPN3lhRExpVEV2WVVQaFVEMHphZ2dPck1NYmljRldZa1RLQVVLTU93eTAxekttam9uUGdvMUs2c2VCWERBZUxwbkxqWThYejFTUGJWRVNCOU02X2prVVhBY2xaQjk0aC1BdndlQTN6bEpNeHNnYTZDVG9ubDlVMk0yNHRIeHRsTmZKRjJhRktjLU1XTkdkTTBlemN2ZHRwdGtTNm5zRlZrX2VmTzcwQ1NJZjNn?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,warning,[],0.0,0,0,,warning,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,17252469748341215623,0,news.google.com,2017-01-01
Abandoned office buildings can become new housing - Greater Greater Washington,https://news.google.com/rss/articles/CBMihgFBVV95cUxPSGRMRGNBRTRpejNaSmtBRUk3c0swNzhZYl9pd3dWU2t4dHNJc2R4U3NDN3UxMzMyelRWSEd2QzhqUUxQa2p6OGJmdkwwUmdDTnQ0OTBMQTRDd2pqZUE0SEdnaWI1RE8wdEN1WldCa3J6M1B3WWdHVS11eDhCY3o3OHVEaTZGQdIBSEFVX3lxTE9FZFBhQzhqNW05ZGVOSFExbDVmX0ROYUF2Z2FaYnNCV3UxM2dmMko1N2JQemUwRXNhOUtZWWFqWUxQZ1cwSWp1dQ?oc=5,https://news.google.com/rss/articles/CBMihgFBVV95cUxPSGRMRGNBRTRpejNaSmtBRUk3c0swNzhZYl9pd3dWU2t4dHNJc2R4U3NDN3UxMzMyelRWSEd2QzhqUUxQa2p6OGJmdkwwUmdDTnQ0OTBMQTRDd2pqZUE0SEdnaWI1RE8wdEN1WldCa3J6M1B3WWdHVS11eDhCY3o3OHVEaTZGQdIBSEFVX3lxTE9FZFBhQzhqNW05ZGVOSFExbDVmX0ROYUF2Z2FaYnNCV3UxM2dmMko1N2JQemUwRXNhOUtZWWFqWUxQZ1cwSWp1dQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,15233556634300542446,0,news.google.com,2017-01-04
Assessing recent warming using instrumentally homogeneous sea surface temperature records - Science | AAAS,https://news.google.com/rss/articles/CBMiX0FVX3lxTE15UHRxU1Y1THQ0TkEwd1hYa0JWY0R6ZU5aNFR5VEFQb2tOcnl5VVY2VWZkYUN5NU93NjRZVXMtbjNDV0JwQWw1V2ZmNDg2djlvQzVsNTVuUVBER2xSNG40?oc=5,https://news.google.com/rss/articles/CBMiX0FVX3lxTE15UHRxU1Y1THQ0TkEwd1hYa0JWY0R6ZU5aNFR5VEFQb2tOcnl5VVY2VWZkYUN5NU93NjRZVXMtbjNDV0JwQWw1V2ZmNDg2djlvQzVsNTVuUVBER2xSNG40?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,12820861793721530247,0,news.google.com,2017-01-03
CES 2017: LG unveils new Gram laptops powered by Windows 10 - Windows Blog,https://news.google.com/rss/articles/CBMiswFBVV95cUxNT0YzcWNULXczT2ZrMU9oTDJYcW9ReGFmNnBndjZNOS1TeGxjUG96QTZMSW1zNnRxb3FtQ1hxdmlYY3RmMXQ2cnVVRHdtZHB3cUJjNVMzY1FYVlZoWWxaankxSzFnTDRzUkp3Z0Z3bVp4Q2VEcGlPQURNZFRyUHFhOEFFZlBueWtMb0Q1VVVneVA0S1psRFNRelE1Zk9xYWdoaXd4NnhhUmJZV0lGQnA5bEhHSQ?oc=5,https://news.google.com/rss/articles/CBMiswFBVV95cUxNT0YzcWNULXczT2ZrMU9oTDJYcW9ReGFmNnBndjZNOS1TeGxjUG96QTZMSW1zNnRxb3FtQ1hxdmlYY3RmMXQ2cnVVRHdtZHB3cUJjNVMzY1FYVlZoWWxaankxSzFnTDRzUkp3Z0Z3bVp4Q2VEcGlPQURNZFRyUHFhOEFFZlBueWtMb0Q1VVVneVA0S1psRFNRelE1Zk9xYWdoaXd4NnhhUmJZV0lGQnA5bEhHSQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,tops,[],0.0,0,0,tops,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,6072263995151866946,0,news.google.com,2017-01-03
Kate Brown Takes Office | Death Penalty: Murder Victim's Mother | Portland's 'Funniest Person' - Oregon Public Broadcasting - OPB,https://news.google.com/rss/articles/CBMinwFBVV95cUxOTzRuOTlzWDdsZlhMZFdLRmxKb2dnZTZwSllwRHlCdlFEbllTY25ZRml1OGdJTzg3TFIzNGRIa1NDOWZhbmJId24zZTJ1RkdoUjJqRkdHR21vejM5ZGc0SkhUZDdiaE1GT2N4OXktOTk3cGxxeHo5ZVNkMmNTa2xPeG0zXzY2eU82UlFUemJPQXYwMnJEbWdidm8zQ3o1SDg?oc=5,https://news.google.com/rss/articles/CBMinwFBVV95cUxOTzRuOTlzWDdsZlhMZFdLRmxKb2dnZTZwSllwRHlCdlFEbllTY25ZRml1OGdJTzg3TFIzNGRIa1NDOWZhbmJId24zZTJ1RkdoUjJqRkdHR21vejM5ZGc0SkhUZDdiaE1GT2N4OXktOTk3cGxxeHo5ZVNkMmNTa2xPeG0zXzY2eU82UlFUemJPQXYwMnJEbWdidm8zQ3o1SDg?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(fined|fine of|penalty|penalized)\b,[],1.8,0,1,,,0.456,medium,lex=0.90; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,7875553218652529265,0,news.google.com,2017-01-06
The oath of office in the post-truth presidency - University of Illinois Urbana-Champaign,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBxVE04cmRHNmI5bV90Y2lxdkN3NjFEYmptcU83MFRLYzRHWnMyV09hcWZpTS15ZjhzcmF2UmdNNGxGSXZkNnF5M2JtUHhyQncyMEE4?oc=5,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBxVE04cmRHNmI5bV90Y2lxdkN3NjFEYmptcU83MFRLYzRHWnMyV09hcWZpTS15ZjhzcmF2UmdNNGxGSXZkNnF5M2JtUHhyQncyMEE4?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,9055604626674625279,0,news.google.com,2017-01-15
Surface Disturbances at the Punggye-ri Nuclear Test Site: Another Indicator of Nuclear Testing? - 38 North,https://news.google.com/rss/articles/CBMiZkFVX3lxTFAtLXNySnpNamNyZWJiNVpaLUZnWURXQ3VVN3RwTGljcFgzUEFZeEltQ08wVEhtSXJEenhfaTJiSDl0S293ZDNhcmJScTBxMXZWSmE4U2lTN0RFejFRZlRaS29PMXNSZw?oc=5,https://news.google.com/rss/articles/CBMiZkFVX3lxTFAtLXNySnpNamNyZWJiNVpaLUZnWURXQ3VVN3RwTGljcFgzUEFZeEltQ08wVEhtSXJEenhfaTJiSDl0S293ZDNhcmJScTBxMXZWSmE4U2lTN0RFejFRZlRaS29PMXNSZw?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,12540882065405925093,0,news.google.com,2017-01-05
Effects of landscape composition and pattern on land surface temperature: An urban heat island study in the megacities of Southeast Asia - ScienceDirect.com,https://news.google.com/rss/articles/CBMidkFVX3lxTE40ejlrZC1VUXJTbE5JcnVIdGVSOVJoRWtjektBdjJtQjBlRTFfT0o3YlNfTHpvWExHWW5XYUp1bzV2dU5aQ0I3VnZrdl9VZFBiX2lmWnlBSXdYQXB5QTRXc0NVTGl5eEtRcEtFWXo3dWtwVkpaa1E?oc=5,https://news.google.com/rss/articles/CBMidkFVX3lxTE40ejlrZC1VUXJTbE5JcnVIdGVSOVJoRWtjektBdjJtQjBlRTFfT0o3YlNfTHpvWExHWW5XYUp1bzV2dU5aQ0I3VnZrdl9VZFBiX2lmWnlBSXdYQXB5QTRXc0NVTGl5eEtRcEtFWXo3dWtwVkpaa1E?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,1219868868227854160,0,news.google.com,2017-01-14
"The Federal Trademark Office Won’t Protect Our Band’s Name, The Slants, Because It Says the Name Is Racist. We’re All Asian-American, By the Way. - American Civil Liberties Union",https://news.google.com/rss/articles/CBMingFBVV95cUxOeWc0Y0tTbHdZd0ZKclVvYS02VGxSSlprZFU3Nk5WemVDbWJBQzBoOUJPQzY3c3l4c3FxSk4tOVp3OXFsdGFkYlhwNU12ZDdlYk4zTngzYWJFNHc1WnVWMml4NU85azlLbWkzOGxDc1FMb0ZTbVM0RGdVWW5MU2tKTHBVWm5JUmpFWmpoTDhjT2JJbjZGOWJVQk9fVVZtQQ?oc=5,https://news.google.com/rss/articles/CBMingFBVV95cUxOeWc0Y0tTbHdZd0ZKclVvYS02VGxSSlprZFU3Nk5WemVDbWJBQzBoOUJPQzY3c3l4c3FxSk4tOVp3OXFsdGFkYlhwNU12ZDdlYk4zTngzYWJFNHc1WnVWMml4NU85azlLbWkzOGxDc1FMb0ZTbVM0RGdVWW5MU2tKTHBVWm5JUmpFWmpoTDhjT2JJbjZGOWJVQk9fVVZtQQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,3536939079326982679,0,news.google.com,2017-01-17
Poll: Obama leaving office with solid approval ratings - Politico,https://news.google.com/rss/articles/CBMifkFVX3lxTE5raVBmTmxwc001RWd6Q29IcG01VVA2Ty1maUE2dXk2SnpVZFVkMzZhQkh5TWI3dF9FZkVWZF80UmduYXZSR2xld21oSDRkODhkYThqbXozRkl1eTdqUW9LYlZfVENrOHM4LTdGOXJrRHRWLWxpYlRHUGNpYnpzQQ?oc=5,https://news.google.com/rss/articles/CBMifkFVX3lxTE5raVBmTmxwc001RWd6Q29IcG01VVA2Ty1maUE2dXk2SnpVZFVkMzZhQkh5TWI3dF9FZkVWZF80UmduYXZSR2xld21oSDRkODhkYThqbXozRkl1eTdqUW9LYlZfVENrOHM4LTdGOXJrRHRWLWxpYlRHUGNpYnpzQQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,approval,[],1.6,1,0,approval,,0.418,medium,lex=0.80; conf=0.78; novelty,0.78,1,gpt-4o-mini,7235010220604617629,0,news.google.com,2017-01-17
